model,iteration,iteration.time,NA,num_cycle,n_selection,n_offspring,n_mutated,n_candidates,n_survivors,avg_zeros,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,model.hparams.topk,model.hparams.sample_size,model.hparams.common.vocab_len,model.hparams.common.num_population,model.hparams.common.num_survivors,model.hparams.crosser.crossover_rate,model.hparams.mutator.0,model.hparams.mutator.1,model.hparams.mutator.2,model.hparams.mutator.3,model.hparams.mutator.4,model.hparams.recombiner.recombination_rate,mutsum.DELETE,mutsum.INSERT,mutsum.CHANGE,mutsum.TRANSP,mutsum.NONE
1,1,0:02:52.296504,91,90,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,18,25,24,14
1,1,0:02:52.296504,92,91,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,19,21,22,16
1,1,0:02:52.296504,93,92,100,100,100,125,25,0.6518518518518519,1.6884492563147986,1.6881524789941356,1.6915905670171396,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,21,20,16,20
1,1,0:02:52.296504,94,93,100,100,100,125,25,0.6592592592592592,1.6921440667391447,1.6916521124181982,1.6997209016078125,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,19,23,13,22
1,1,0:02:52.296504,95,94,100,100,100,125,25,0.6592592592592592,1.6921440667391447,1.6916521124181982,1.6997209016078125,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,23,20,16,16
1,1,0:02:52.296504,96,95,100,100,100,125,25,0.6592592592592592,1.6921440667391447,1.6916521124181982,1.6997209016078125,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,25,22,15,18
1,1,0:02:52.296504,97,96,100,100,100,125,25,0.6592592592592592,1.6921440667391447,1.6916521124181982,1.6997209016078125,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,23,19,20,18,20
1,1,0:02:52.296504,98,97,100,100,100,125,25,0.6592592592592592,1.6921440667391447,1.6916521124181982,1.6997209016078125,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,20,18,18,22,22
1,1,0:02:52.296504,99,98,100,100,100,125,25,0.6592592592592592,1.6921440667391447,1.6916521124181982,1.6997209016078125,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,25,21,17,16,21
1,1,0:02:52.296504,100,99,100,100,100,125,25,0.6562962962962962,1.6922175394617858,1.6916521124181982,1.6997209016078125,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,22,15,26,22
1,2,0:03:05.971172,1,0,100,100,100,200,25,0.037037037037037035,1.206506254688673,1.2018719941153586,1.2536818939700418,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,21,18,27,12
1,2,0:03:05.971172,2,1,100,100,100,125,25,0.059259259259259255,1.2471668052089455,1.2424444488260562,1.2875422831496084,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,22,25,10,19,24
1,2,0:03:05.971172,3,2,100,100,100,125,25,0.08148148148148147,1.2735306402560211,1.2695298728975524,1.3140314408876796,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,15,18,16,24,27
1,2,0:03:05.971172,4,3,100,100,100,125,25,0.1348148148148148,1.3277417268453215,1.327417748477651,1.3565991668037705,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,18,19,25,15,23
1,2,0:03:05.971172,5,4,100,100,100,125,25,0.18666666666666665,1.3573697216452618,1.352845509358603,1.3942106072335374,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,21,22,22,24,11
1,2,0:03:05.971172,6,5,100,100,100,125,25,0.19407407407407404,1.3984454697469642,1.3952837283170112,1.4361209918407352,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,24,12,25,23,16
1,2,0:03:05.971172,7,6,100,100,100,125,25,0.2222222222222222,1.426234667464236,1.4254272284029557,1.4555909214545808,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,16,19,20,24,21
1,2,0:03:05.971172,8,7,100,100,100,125,25,0.2829629629629629,1.4546842518476972,1.453245542486479,1.4786049768608232,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,29,24,12,20,15
1,2,0:03:05.971172,9,8,100,100,100,125,25,0.3155555555555555,1.494527993553241,1.490041255963912,1.556991627326994,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,27,20,24,18,11
1,2,0:03:05.971172,10,9,100,100,100,125,25,0.33333333333333326,1.5429573399318628,1.5469659517204728,1.5808203717734268,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,16,23,16,22,23
1,2,0:03:05.971172,11,10,100,100,100,125,25,0.38518518518518513,1.5640124047183155,1.556991627326994,1.5814275890388751,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,19,23,14,25,19
1,2,0:03:05.971172,12,11,100,100,100,125,25,0.4281481481481481,1.609364741415469,1.6027376520031456,1.6445475593758898,10,1000,34,100,25,0.1,0.2,0.2,0.2,0.2,0.2,0.5,24,19,17,18,22
